,phase,p-value
0,-3.141592653589793,0.09422459902742575
1,-2.748893571891069,0.17404956600685273
2,-2.356194490192345,0.06242207207358692
3,-1.9634954084936207,0.06242207207358692
4,-1.5707963267948966,0.11606261866822527
5,-1.1780972450961724,0.09422459902742575
6,-0.7853981633974483,0.00016819472886568456
7,-0.3926990816987241,0.24641366768802753
8,0.0,0.33224031065913
9,0.3926990816987241,0.09422459902742575
10,0.7853981633974483,0.34585056743294107
11,1.178097245096172,0.16980486535981573
12,1.5707963267948966,0.010723550189227226
13,1.9634954084936207,0.010723550189227226
14,2.356194490192345,0.14414885503786437
15,2.7488935718910685,0.09422459902742575
16,3.141592653589793,0.09422459902742575
