NP_code,Power-Based Model,Shuffled IEA Phase,FC-Based Model,IEA Cycle-Based Model
NP19,0.45090614288939523,0.5279539437226771,0.58469306077212,0.5111959444204995
NP36,0.47204371266801504,0.48091375846417145,0.560424544575151,0.4727353902143693
NP34,0.49456647398843934,0.5069186305024456,0.5509115162294352,0.5480346820809249
NP55,0.5165098887912748,0.48878270372195676,0.5482097323705243,0.5456062911140158
NP38,0.5855672105672105,0.5052447552447552,0.6792929292929293,0.7833139083139083
NP17,0.5929558156701467,0.5370663292207107,0.6127280396498999,0.5501687229779606
NP5,0.5074921225035705,0.48815795576949833,0.5322900185023889,0.5552626153822366
NP21,0.4722951946004931,0.49230181503955905,0.5435467077749744,0.4546240110238009
NP1,0.5247106569738871,0.4840458881941267,0.5615669428769932,0.5630157761849085
NP43,0.5501105379513633,0.4986950380741832,0.6116893883566691,0.580539179562761
NP15,0.5042834890965733,0.589563862928349,0.7087227414330218,0.5309579439252335
NP45,0.37965260545905705,0.4357940446650125,0.7589950372208437,0.8653846153846153
NP39,0.44785452295726724,0.48497503203853465,0.5684667167498932,0.6726766538512529
NP47,0.37171194480379477,0.40922811556705474,0.9094437257438551,0.8027166882276844
NP32,0.5498472764296624,0.4961819107415578,0.6480994400135754,0.6629475649075175
