NP_code,Model,PRECISION,RECALL,F1
NP19,FC-Based Model,0.3393316195372751,0.8859060402684564,0.49070631970260226
NP36,FC-Based Model,0.262782401902497,0.7317880794701986,0.3867016622922135
NP34,FC-Based Model,0.5196374622356495,0.9942196531791907,0.6825396825396827
NP55,FC-Based Model,0.2753074739829707,0.9864406779661017,0.43047337278106507
NP38,FC-Based Model,0.3170731707317073,0.5,0.38805970149253727
NP17,FC-Based Model,0.4253393665158371,0.8623853211009175,0.5696969696969697
NP5,FC-Based Model,0.20056144728633812,0.9428152492668622,0.330761316872428
NP21,FC-Based Model,0.19083969465648856,0.6880733944954128,0.29880478087649404
NP1,FC-Based Model,0.3521594684385382,0.8945147679324894,0.5053635280095351
NP43,FC-Based Model,0.7028423772609819,0.9855072463768116,0.8205128205128205
NP15,FC-Based Model,0.8153846153846154,0.9906542056074766,0.8945147679324893
NP45,FC-Based Model,0.2,0.8461538461538461,0.3235294117647059
NP39,FC-Based Model,0.33906633906633904,0.8070175438596491,0.47750865051903113
NP47,FC-Based Model,0.030927835051546393,1.0,0.06000000000000001
NP32,FC-Based Model,0.7219730941704036,0.9698795180722891,0.8277634961439589
NP19,IEA Cycle-Based Model,0.3148936170212766,0.9932885906040269,0.4781906300484653
NP36,IEA Cycle-Based Model,0.23552425665101723,0.9966887417218543,0.38101265822784813
NP34,IEA Cycle-Based Model,0.5149253731343284,0.9971098265895953,0.6791338582677167
NP55,IEA Cycle-Based Model,0.2702952029520295,0.9932203389830508,0.4249456127628716
NP38,IEA Cycle-Based Model,0.3137254901960784,0.6153846153846154,0.4155844155844156
NP17,IEA Cycle-Based Model,0.4225941422594142,0.926605504587156,0.5804597701149425
NP5,IEA Cycle-Based Model,0.20692278432864206,0.7976539589442815,0.3286016309272123
NP21,IEA Cycle-Based Model,0.16998950682056663,0.9908256880733946,0.290192566054635
NP1,IEA Cycle-Based Model,0.3246217331499312,0.9957805907172996,0.4896265560165975
NP43,IEA Cycle-Based Model,0.7002583979328165,0.9818840579710145,0.8174962292609351
NP15,IEA Cycle-Based Model,0.8217054263565892,0.9906542056074766,0.8983050847457626
NP45,IEA Cycle-Based Model,0.3103448275862069,0.6923076923076923,0.4285714285714286
NP39,IEA Cycle-Based Model,0.4121212121212121,0.7953216374269005,0.5429141716566867
NP47,IEA Cycle-Based Model,0.02631578947368421,0.3333333333333333,0.048780487804878044
NP32,IEA Cycle-Based Model,0.7650273224043715,0.8433734939759037,0.8022922636103151
